,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
27,유형자산처분이익,-180423292.0,-394286326.0,-194070062.0,-143876333.0,-89226474.0,-335975543.0,-237673550.0,-195156573.0,-80252575.0,-310515079.0,-160277918.0,-112060307.0,-45290627.0,-133265972.0,-133271307.0,-37558799.0,-1553105.0,-226698170.0,-3272632170.0,-3243452954.0,-66538619.0,-228148884.0,-78991673.0,-21529344.0,-21744538.0,-56684881.0,-37649012.0,-23182872.0,-8350888.0,-59228626.0,-61423146.0,-19653267.0,-13969401.0,-69351369.0,-68575531.0,944903.0,28921683.0,25720390.0,28533057.0,9214368.0,,3727727.0,3340786.0
28,주식매수권부채평가이익,,,,,,-20884435.0,,,,-34059624.0,,,,-526507562.0,-526848488.0,,,,-100301010.0,,,-4180914160.0,-1741559735.0,,,-6366957171.0,-1588216644.0,-1554989115.0,-1219203918.0,-4143272085.0,-7936807602.0,-8421793965.0,,,,,,,,,,,
29,매출채권의감소(증가),30868672511.0,-106122724064.0,23284312695.0,-15397012.0,-21649971778.0,45295421384.0,50256067032.0,,33442926139.0,-41580394725.0,-49959124666.0,14535985072.0,49379719909.0,,,-19172196629.0,-15793963238.0,1032365913.0,669790501.0,,,-10906641269.0,16739257610.0,-8982037148.0,-21476279746.0,,14090929251.0,11695404682.0,2885480414.0,,8506174254.0,41151597782.0,20346283411.0,32417311436.0,9461940477.0,-38763584697.0,8904872651.0,989400692.0,-5064537176.0,,,,
30,기타수취채권의감소(증가),298227771.0,1648172363.0,2872045237.0,1630258882.0,-823457740.0,-4561901272.0,618968174.0,450294435.0,-2988657665.0,-198712149.0,398586008.0,-577351648.0,151729086.0,,-796255074.0,-6252786054.0,107012641.0,,-1540616382.0,-1897292506.0,-3085029103.0,82089494.0,-697990943.0,-6993161651.0,-7033824537.0,,392947522.0,1471403141.0,-663596818.0,19597041927.0,5501744419.0,-4050723791.0,5957625902.0,-9972492486.0,2943555070.0,,,,,,,,
31,기타유동자산의증가,,-11971581807.0,,,,-893652958.0,,,,,,,,,,,,-10845659727.0,-5855977902.0,-993774331.0,-254196929.0,-9022316655.0,,,,-1892969996.0,-1095045911.0,,-3598741013.0,-6900539764.0,-11514724939.0,,-2407720803.0,,,,,,,,,,
32,재고자산의증가,,-1062230968.0,,,,-481402064.0,,,,,,,,,,,,,,,,,,,,,,-92159507.0,,,,-741569525.0,,,,,,,,-2335057349.0,-654042689.0,,
33,기타수취채권(비유동)의감소,298227771.0,,2872045237.0,1630258882.0,-823457740.0,2142800000.0,618968174.0,450294435.0,-2988657665.0,-198712149.0,398586008.0,-577351648.0,151729086.0,,-796255074.0,-6252786054.0,107012641.0,,,,-3085029103.0,82089494.0,-697990943.0,-6993161651.0,-7033824537.0,,392947522.0,1471403141.0,,19597041927.0,5501744419.0,-4050723791.0,5957625902.0,-9972492486.0,2943555070.0,,,,,,,,
34,기타비유동자산의증가,,-10714010000.0,,,,-7000000000.0,,,,,,,,-2891419644.0,,,,-42738933.0,,,,,,,,,,,,,,,,,-1524558683.0,,,,,,,,
35,매입채무의증가(감소),,2763417286.0,3108721274.0,,,-646221289.0,485083035.0,,,,,,,,,-4531847963.0,-3396145529.0,2274546984.0,7820585.0,,,1175038351.0,-1191402653.0,2724524320.0,921661949.0,1435167979.0,,-729622780.0,-252685406.0,-2879710253.0,,,,,,1928754214.0,-3723588573.0,,530306588.0,-387619554.0,1618540486.0,819084686.0,-2750000.0
36,기타지급채무의증가(감소),47333850452.0,19550268736.0,6128767552.0,5491320570.0,26119994174.0,-13380768947.0,-1123076210.0,-22914749958.0,-15256359731.0,103446122.0,5001241061.0,-136506484.0,8016717757.0,21731711419.0,-4635703784.0,-12134266713.0,-1855203858.0,-4897893725.0,1683479394.0,1607351341.0,12263691879.0,5839583500.0,-15265621690.0,-14598665373.0,30630717576.0,7463948008.0,2910610648.0,6995916777.0,-17913048474.0,-9518464153.0,-38332741171.0,10410399202.0,,9559683620.0,-9969072520.0,,,,,,,,
37,기타유동부채의증가(감소),-49109802479.0,65282179368.0,-40326333376.0,-15470697392.0,-26299647084.0,-62938503792.0,-107078841138.0,-38331594175.0,-11220136827.0,,71932247401.0,-4602032732.0,-3914445661.0,,-8737729649.0,-8358226895.0,-1219173165.0,21085554389.0,25045816445.0,9216737688.0,,3714168735.0,14276443421.0,34402602052.0,8770888004.0,-11092258207.0,-4088599020.0,-6177471498.0,423637441.0,44346114781.0,69733121738.0,,-11923818143.0,21005596323.0,18382172865.0,,,,,,,,
38,확정급여부채의감소,,-32261284938.0,,,,-21693342020.0,,,,-37440316644.0,,,,-67379712298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,장기종업원급여채무의증가,-177231725.0,689538142.0,729808186.0,525657005.0,170237559.0,73556646.0,648704525.0,418364748.0,148067569.0,2159725726.0,2246079104.0,452352078.0,394639839.0,-170542035.0,81322287.0,32723616.0,-26575614.0,281336108.0,227084104.0,461181618.0,290855735.0,-96202449.0,,,,7792728300.0,311107114.0,284105292.0,8578998.0,-1590115804.0,-1731817822.0,336345956.0,,,4857638743.0,,,,,,,,
40,기타지급채무(비유동)의증가(감소),47333850452.0,1847939766.0,6128767552.0,5491320570.0,26119994174.0,-2487611155.0,-1123076210.0,-22914749958.0,-15256359731.0,103446122.0,5001241061.0,-136506484.0,8016717757.0,21731711419.0,-4635703784.0,-12134266713.0,-1855203858.0,-4897893725.0,1683479394.0,1607351341.0,12263691879.0,5839583500.0,-15265621690.0,-14598665373.0,30630717576.0,7463948008.0,2910610648.0,6995916777.0,-17913048474.0,-9518464153.0,-38332741171.0,10410399202.0,,9559683620.0,-9969072520.0,,,,,,,,
41,기타비유동부채의증가(감소),-721009579.0,-460984875.0,2690184923.0,3142643867.0,2374931604.0,11033429906.0,4148379180.0,-492982603.0,-235694291.0,-632246853.0,-795341473.0,2115297630.0,1167501381.0,,,-2744830304.0,-2697299573.0,3292906707.0,1472628615.0,527750742.0,315223917.0,2499486024.0,2807249044.0,-175444314.0,549195499.0,-3948791024.0,-729999173.0,,-233512729.0,1690333625.0,,2509951257.0,273021629.0,2193242893.0,-498329997.0,,,,,,,,
42,2.이자의수취,,37261442977.0,,,,27607647817.0,,,,19978170141.0,,,,18799085986.0,,,,14738101977.0,,,,16970749053.0,,,,17327442186.0,9734461343.0,8545286957.0,5189600907.0,24804630039.0,15623620746.0,13651923406.0,9412998504.0,22650373389.0,20462051445.0,,,,,,,,
43,3.이자의지급,,-7164812755.0,,,,-4631837879.0,,,,-4136370974.0,,,,-2993463403.0,,,,-30933495.0,,,,-1359298509.0,,,,-713249882.0,-1124137328.0,-1910270308.0,-4688696585.0,-5231181354.0,-1181882261.0,-398004217.0,-1246173235.0,-744256591.0,-53618420.0,,,,,,,,
44,4.배당금수취,-2199445741.0,3770848676.0,2903169732.0,2130661864.0,-1099576533.0,12111980194.0,9954749156.0,9185642672.0,1226109503.0,2087178127.0,1203867794.0,796205569.0,369065748.0,330844348.0,286273326.0,261920000.0,,1332163579.0,1216878086.0,1163522696.0,1212861534.0,1975176844.0,1652352831.0,1652352831.0,20000000.0,3098783927.0,3098783927.0,3098783927.0,3098783927.0,66000000.0,66000000.0,66000000.0,66000000.0,50000000.0,60000000.0,,,,,,,,
