,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
18,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정 금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치 측정 금융자산,57621000000.0,60299000000.0,60318000000.0,60309000000.0,60258000000.0,83468000000.0,81062000000.0,81901000000.0,143916000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치 측정 지정 금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치 측정 지정 금융자산,276959000000.0,285980000000.0,300508000000.0,304047000000.0,301933000000.0,298346000000.0,224341000000.0,223563000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ifrs-full_NoncurrentFinancialAssetsAtAmortisedCost,상각후원가 측정 금융자산,Non-current financial assets at amortised cost,재무상태표 [abstract],자산 [abstract],비유동자산,상각후원가 측정 금융자산,37153000000.0,35720000000.0,35596000000.0,35916000000.0,36809000000.0,37306000000.0,15167000000.0,14013000000.0,22050000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 공동기업 및 관계기업 투자자산","Investments in subsidiaries, joint ventures and associates",재무상태표 [abstract],자산 [abstract],비유동자산,"종속기업, 공동기업 및 관계기업 투자자산",62344000000.0,62049000000.0,61594000000.0,52625000000.0,53458000000.0,45891000000.0,60213000000.0,73463000000.0,72677000000.0,79319000000.0,,,118549000000.0,,126787000000.0,,104645000000.0,,105263000000.0,,119001000000.0,,133638000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,dart_NonCurrentDerivativeAssets,파생상품자산,Non-current derivative assets,재무상태표 [abstract],자산 [abstract],비유동자산,파생상품자산,,,,3000000.0,7000000.0,,10000000.0,14000000.0,22000000.0,25000000.0,,,,,,,,,357000000.0,,,11000000.0,,,,4000000.0,578000000.0,11000000.0,,1982000000.0,5200000000.0,6816000000.0,6341000000.0,8070000000.0,6642061699.0,3320867345.0,4711565221.0,8898000000.0,18848088598.0,18848088598.0,41507664068.0,,,,,,,,,,,
23,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,382881000000.0,382875000000.0,363134000000.0,361990000000.0,379339000000.0,371598000000.0,359218000000.0,386314000000.0,388002000000.0,394196000000.0,372562000000.0,380003000000.0,385624000000.0,390939000000.0,410057000000.0,418785000000.0,164230000000.0,165104000000.0,178326000000.0,175917000000.0,175683000000.0,176414000000.0,154287000000.0,151465000000.0,64365000000.0,64154000000.0,25905000000.0,27892000000.0,27298000000.0,26475000000.0,27792000000.0,28870000000.0,1205000000.0,1205000000.0,,,30695073611.0,30696000000.0,21726280236.0,263987188448.0,231954596277.0,,,,,,,,,,,
24,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,1415384000000.0,1419749000000.0,1469622000000.0,1470222000000.0,1435419000000.0,1436574000000.0,1383592000000.0,1391640000000.0,1385794000000.0,1398791000000.0,1426283000000.0,1464541000000.0,1492402000000.0,1498089000000.0,1518212000000.0,1538054000000.0,1770758000000.0,1754185000000.0,1767046000000.0,1707281000000.0,1703706000000.0,1710644000000.0,1744074000000.0,1704255000000.0,1648984000000.0,1638221000000.0,1632144000000.0,1088703000000.0,1142633000000.0,1144030000000.0,1114323000000.0,1134839000000.0,1168769000000.0,1120325000000.0,1093863822385.0,1108770575241.0,1085868720793.0,1097146000000.0,1099195643550.0,997359849726.0,974439583453.0,777774752815.0,709655654465.0,707504488096.0,754501203664.0,916947063248.0,933427894245.0,993416587195.0,1208691767209.0,1183750408907.0,-1261578190.0,-1952706713.0
25,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,78740000000.0,81530000000.0,59000000000.0,60834000000.0,40384000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,699517000000.0,697843000000.0,695322000000.0,691491000000.0,701169000000.0,711198000000.0,723441000000.0,736222000000.0,746159000000.0,760228000000.0,774763000000.0,788413000000.0,794941000000.0,810336000000.0,818421000000.0,831400000000.0,842262000000.0,857312000000.0,861275000000.0,872637000000.0,888937000000.0,874253000000.0,885692000000.0,896983000000.0,85970000000.0,84646000000.0,85373000000.0,86461000000.0,79118000000.0,76780000000.0,74462000000.0,74360000000.0,72597000000.0,44275000000.0,44282413549.0,46324284545.0,43505812150.0,43469000000.0,36852400091.0,4351222884.0,3530482086.0,3110722600.0,2639472111.0,1408692755.0,472232993.0,237682263.0,18156667.0,323843978.0,2865038818.0,2750193877.0,-10662185.0,-12635397.0
27,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,263808000000.0,258932000000.0,264676000000.0,291785000000.0,281432000000.0,252549000000.0,385307000000.0,387692000000.0,338354000000.0,251650000000.0,230749000000.0,197723000000.0,249229000000.0,124633000000.0,200887000000.0,166877000000.0,155182000000.0,135390000000.0,183808000000.0,183319000000.0,187336000000.0,171190000000.0,180821000000.0,223961000000.0,173450000000.0,193658000000.0,156963000000.0,169509000000.0,171492000000.0,154015000000.0,106213000000.0,94478000000.0,66510000000.0,81979000000.0,99423210178.0,71092853943.0,60964008460.0,55274000000.0,42018950390.0,,,,,,,,,,,,,
28,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,156567000000.0,152598000000.0,137287000000.0,132498000000.0,116970000000.0,118782000000.0,123453000000.0,130148000000.0,130291000000.0,124325000000.0,127558000000.0,127952000000.0,127829000000.0,129682000000.0,148236000000.0,165123000000.0,129026000000.0,125149000000.0,109589000000.0,113590000000.0,101375000000.0,101212000000.0,86666000000.0,79121000000.0,68392000000.0,61749000000.0,56960000000.0,59266000000.0,36571000000.0,37795000000.0,63000000000.0,68046000000.0,64531000000.0,67751000000.0,61471038087.0,63662020339.0,64331515380.0,72975000000.0,76452074057.0,684104719012.0,509388573131.0,454548161742.0,673649116895.0,,,,,,,,,
29,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,19376595000000.0,18226972000000.0,18342355000000.0,18418824000000.0,18445187000000.0,18054609000000.0,18180931000000.0,18147229000000.0,18187539000000.0,18431902000000.0,18746796000000.0,18965533000000.0,19170736000000.0,19873443000000.0,19192423000000.0,19629477000000.0,19197468000000.0,19350103000000.0,19739234000000.0,19190461000000.0,18451590000000.0,18244600000000.0,17856414000000.0,17150945000000.0,14892973000000.0,14666501000000.0,14140177000000.0,13589858000000.0,12832763000000.0,12746829000000.0,12582347000000.0,12236813000000.0,12258832000000.0,11871889000000.0,11515317200631.0,11202937222954.0,11122634950655.0,10996413000000.0,9497032043300.0,8680392321206.0,8625233852779.0,6941449240279.0,5906537872010.0,5240423758284.0,4659874884977.0,4908660342660.0,5398642974796.0,6133811442392.0,7264150050899.0,9308574276071.0,8634075651.0,13687108638.0
