,Income statement(Unit: KRW),20100401-20110331,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20000401-20010331,19990401-20000331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
78,1.지분법이익(주석7),317745000000.0,229915000000.0,41553000000.0,125274000000.0,25763000000.0,18770000000.0,3004000000.0,,,2648805000000.0,2714541911000.0,
79,2.지분법적용투자주식처분이익,340000000.0,,26344000000.0,158061000000.0,4326000000.0,1123000000.0,,3891000000.0,,2648805000000.0,2714541911000.0,
80,3.투자부동산처분이익,1325000000.0,82335000000.0,14000000.0,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
81,4.유형자산처분이익,8391000000.0,67086000000.0,98045000000.0,213000000.0,26617000000.0,639000000.0,23870000000.0,2884000000.0,39543000000.0,119070000000.0,47005643000.0,16948015000.0
82,5.잡이익,443979000000.0,45373000000.0,128514000000.0,42024000000.0,19268000000.0,4187000000.0,7663000000.0,67712000000.0,225226000000.0,233310000000.0,570570445000.0,175361448000.0
83,,,,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
84,Ⅴ.영업외비용,108050000000.0,107142000000.0,207296000000.0,101699000000.0,65246000000.0,113088000000.0,459010000000.0,1123908000000.0,631305000000.0,651772000000.0,971344769000.0,716849383000.0
85,1.지분법손실(주석7),3979000000.0,3260000000.0,3492000000.0,3845000000.0,1748000000.0,846000000.0,311334000000.0,,,2648805000000.0,2714541911000.0,
86,2.지분법적용투자주식처분손실,,4970000000.0,8000000.0,497000000.0,1664000000.0,504000000.0,,,,2648805000000.0,2714541911000.0,
87,3.투자부동산처분손실,,13948000000.0,36000000.0,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
88,4.유형자산처분손실,4270000000.0,19492000000.0,338000000.0,173000000.0,168000000.0,61000000.0,11889000000.0,4857000000.0,25116000000.0,129791000000.0,40175774000.0,5600274000.0
89,5.기부금(주석33),76612000000.0,32390000000.0,61090000000.0,84253000000.0,50109000000.0,53857000000.0,57497000000.0,49170000000.0,26560000000.0,16634000000.0,25278220000.0,24063157000.0
90,6.잡손실,23189000000.0,33082000000.0,142332000000.0,12931000000.0,11557000000.0,8060000000.0,5582000000.0,445030000000.0,184256000000.0,206461000000.0,502202927000.0,136890883000.0
91,,,,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
