,Statement of financial position(Unit: KRW),Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20120101,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231
,label_ko,comment,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
18,부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3597397000000.0,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
19,Ⅰ.예수부채,"4,21",308911196000000.0,294874256000000.0,284141563000000.0,280382075000000.0,273848328000000.0,265000190000000.0,260650514000000.0,259911056000000.0,250965418000000.0,249419224000000.0,248443155000000.0,238010007000000.0,234255594000000.0,235137958000000.0,233151310000000.0,227056797000000.0,219490839000000.0,217676428000000.0,208884971000000.0,201071828000000.0,195989188000000.0,193709738000000.0,188934015000000.0,186562338000000.0,180321861000000.0,178809881000000.0,178861633000000.0,178268124000000.0,175839299000000.0,173295702000000.0,170600101000000.0,166885799000000.0,168248372000000.0,166243830000000.0,163015732000000.0,160803708000000.0,152663844000000.0,154889709000000.0,149416662000000.0,143721212000000.0,147737458000000.0,126763679000000.0,110582065000000.0,99759523000000.0,91538441000000.0,87528060000000.0,87592605000000.0,38722333000000.0,34390191764868.0
20,Ⅱ.단기매매금융부채,"4,22",,,,,,,,,,1848490000000.0,2113547000000.0,2353756000000.0,2624375000000.0,1976760000000.0,2172680000000.0,1809048000000.0,1983212000000.0,2135390000000.0,2626046000000.0,3171378000000.0,2401285000000.0,2688734000000.0,2127685000000.0,1632998000000.0,1920411000000.0,1258283000000.0,1104039000000.0,998780000000.0,763545000000.0,1370723000000.0,903556000000.0,905864000000.0,956408000000.0,704418000000.0,704418000000.0,728749000000.0,532297000000.0,837732000000.0,822977000000.0,346935000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
21,Ⅲ.당기손익인식지정금융부채,"4,23",,,,,,,,,,8297609000000.0,9085015000000.0,9145279000000.0,8992404000000.0,9233642000000.0,9249812000000.0,9032725000000.0,8973932000000.0,8916332000000.0,8573110000000.0,9678199000000.0,9604918000000.0,8996181000000.0,8471529000000.0,7668231000000.0,6831337000000.0,5909130000000.0,6153518000000.0,5277550000000.0,4766698000000.0,4822197000000.0,4979087000000.0,4803481000000.0,3915993000000.0,3298409000000.0,3298409000000.0,2942640000000.0,2990735000000.0,2395051000000.0,1953519000000.0,1086680000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
22,Ⅳ.파생상품부채,"4,11",5264980000000.0,2303012000000.0,3414594000000.0,2642265000000.0,2273782000000.0,2439892000000.0,2476196000000.0,3527225000000.0,3044579000000.0,3487661000000.0,2052659000000.0,1887602000000.0,2534647000000.0,3528244000000.0,2992078000000.0,2474014000000.0,2716880000000.0,2599288000000.0,3595273000000.0,1930346000000.0,1691108000000.0,1717555000000.0,1839997000000.0,1904278000000.0,1561873000000.0,2026534000000.0,1896975000000.0,2185999000000.0,1663949000000.0,1904044000000.0,1838253000000.0,1848636000000.0,1675858000000.0,1972197000000.0,1972197000000.0,3065804000000.0,2254554000000.0,2836539000000.0,3535174000000.0,4321119000000.0,4260046000000.0,11703045000000.0,2314618000000.0,1312251000000.0,915494000000.0,1640570000000.0,471442000000.0,112677000000.0,104985412653.0
23,Ⅴ.차입부채,"4,24",36804947000000.0,34863156000000.0,33588567000000.0,31950655000000.0,29274787000000.0,29818542000000.0,28997853000000.0,29186450000000.0,26842146000000.0,27586610000000.0,29420507000000.0,28755963000000.0,25515439000000.0,25294241000000.0,23944363000000.0,24048625000000.0,23196797000000.0,21733865000000.0,24320826000000.0,24974958000000.0,23876928000000.0,22973767000000.0,22697372000000.0,20957059000000.0,22618040000000.0,20142908000000.0,20642793000000.0,23010545000000.0,22897339000000.0,19518040000000.0,22098307000000.0,21375989000000.0,20127721000000.0,20255421000000.0,20033246000000.0,20167935000000.0,18708595000000.0,19135302000000.0,18085459000000.0,17673005000000.0,58002629000000.0,76911841000000.0,66791439000000.0,47658452000000.0,,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
24,Ⅵ.사채,"4,25",75115366000000.0,75363364000000.0,72584879000000.0,69745463000000.0,67263045000000.0,63227699000000.0,58104380000000.0,56152232000000.0,52325800000000.0,51340821000000.0,49572020000000.0,47714024000000.0,45019364000000.0,44326785000000.0,44421187000000.0,42642163000000.0,41342684000000.0,41221284000000.0,40341574000000.0,39270034000000.0,38506393000000.0,37334612000000.0,35958329000000.0,35811491000000.0,36453493000000.0,37491439000000.0,38220410000000.0,38426279000000.0,38549741000000.0,38838467000000.0,40484467000000.0,39223894000000.0,40539766000000.0,39735249000000.0,39736958000000.0,40194835000000.0,40297554000000.0,39570346000000.0,40286268000000.0,41362758000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
25,Ⅶ.확정급여부채,26,,121140000000.0,237377000000.0,223542000000.0,147564000000.0,127348000000.0,98811000000.0,111718000000.0,47295000000.0,7144000000.0,168233000000.0,150553000000.0,143117000000.0,130879000000.0,304884000000.0,259885000000.0,191581000000.0,226130000000.0,355737000000.0,368491000000.0,314180000000.0,309457000000.0,238192000000.0,214047000000.0,126180000000.0,117655000000.0,263000000000.0,243517000000.0,257994000000.0,222333000000.0,424234000000.0,302307000000.0,277012000000.0,275435000000.0,274661000000.0,174852000000.0,172399000000.0,179362000000.0,170052000000.0,146366000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
26,Ⅷ.충당부채,27,576609000000.0,557024000000.0,571161000000.0,593233000000.0,539301000000.0,508416000000.0,479016000000.0,484865000000.0,475763000000.0,428958000000.0,441776000000.0,437703000000.0,443907000000.0,728888000000.0,716878000000.0,722638000000.0,709096000000.0,698788000000.0,693678000000.0,698508000000.0,652946000000.0,694165000000.0,688647000000.0,734964000000.0,740676000000.0,750283000000.0,791087000000.0,743957000000.0,731794000000.0,747885000000.0,731343000000.0,729976000000.0,858034000000.0,869632000000.0,869592000000.0,847413000000.0,864584000000.0,805771000000.0,859357000000.0,781634000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
27,Ⅸ.당기법인세부채,,543428000000.0,512757000000.0,458081000000.0,311613000000.0,509556000000.0,430306000000.0,340492000000.0,210595000000.0,360371000000.0,348830000000.0,407853000000.0,334219000000.0,444394000000.0,272728000000.0,183344000000.0,177084000000.0,168946000000.0,142014000000.0,148488000000.0,208720000000.0,326568000000.0,256993000000.0,161379000000.0,230607000000.0,347820000000.0,239174000000.0,142513000000.0,175505000000.0,266920000000.0,253524000000.0,164323000000.0,296373000000.0,729622000000.0,568074000000.0,568074000000.0,,,,251274000000.0,456439000000.0,,-3316564000000.0,-2953586000000.0,-1880902000000.0,-1740938000000.0,-1916982000000.0,-2835642000000.0,-785773000000.0,-642743640854.0
