,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010901-20011231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
86,10.세금과공과(TaxesandDues),148060000000.0,142725000000.0,182119000000.0,171227000000.0,92343000000.0,91245000000.0,100255000000.0,53815000000.0,36394000000.0,12871879648.0
87,11.광고선전비(Advertising),234637000000.0,166076000000.0,177930000000.0,170256000000.0,74127000000.0,57812000000.0,62300000000.0,42922000000.0,52736000000.0,18329399361.0
88,12.연구비(ResearchExpenses),6948000000.0,6445000000.0,5663000000.0,4341000000.0,2720000000.0,2624000000.0,3108000000.0,3300000000.0,2509000000.0,
89,13.기타판매비와관리비(Other),673734000000.0,576940000000.0,597914000000.0,512631000000.0,461769000000.0,420806000000.0,404310000000.0,264222000000.0,146365000000.0,50875889445.0
90,Ⅲ.영업이익(OperatingIncome),3235169000000.0,2097907000000.0,3039294000000.0,3737415000000.0,2424388000000.0,1759265000000.0,1361229000000.0,785786000000.0,939017000000.0,120092716075.0
91,Ⅳ.영업외수익(Non-OperatingIncome),122445000000.0,126249000000.0,223601000000.0,277666000000.0,226607000000.0,561935000000.0,363205000000.0,224874000000.0,163373000000.0,222191346721.0
92,1.지분법이익(주석5)(EquityinGainofEquityMethodAccountedInvestees),20783000000.0,16997000000.0,70791000000.0,57255000000.0,78767000000.0,33411000000.0,1961000000.0,2410000000.0,,
93,2.유형자산처분이익(GainonDispositionofPremisesandEquipment),1276000000.0,9278000000.0,923000000.0,5041000000.0,8492000000.0,19873000000.0,9180000000.0,28879000000.0,788000000.0,76991970.0
94,3.임대료(RentalIncome),20030000000.0,18510000000.0,18487000000.0,18825000000.0,16718000000.0,15870000000.0,14852000000.0,12007000000.0,8831000000.0,3772959008.0
95,4.지분법적용투자주식처분이익(GainonDispositionofEquityMethodAccountedInvestments),,15077000000.0,,2489998000000.0,1842513000000.0,,,,,
96,5.기타영업외수익(Other),80356000000.0,66387000000.0,128605000000.0,196545000000.0,122630000000.0,190506000000.0,176876000000.0,72753000000.0,35224000000.0,20916514217.0
97,Ⅴ.영업외비용(Non-OperatingExpenses),268863000000.0,244681000000.0,261857000000.0,101967000000.0,138830000000.0,496550000000.0,390653000000.0,379681000000.0,250074000000.0,91134335091.0
98,1.지분법손실(주석5)(EquityinLossofEquityMethodAccountedInvestees),6947000000.0,3984000000.0,878000000.0,716000000.0,324000000.0,,,,,
99,2.유형자산처분손실(LossonDispositionofPremisesandEquipment),5979000000.0,1272000000.0,467000000.0,1675000000.0,1524000000.0,7224000000.0,6207000000.0,2282000000.0,394000000.0,137194393.0
