,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20130331,20120331,20111231,20110630,20110331,20100930,20100331,20090331,20080331,20070331,20060331,20040331,20030331,20020331,20000331,19000101
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
26,V.당기법인세부채(주석40),38796574804.0,1315503797.0,60780662651.0,70294204936.0,124047545758.0,89185162004.0,89945178202.0,148214265664.0,78819788270.0,29534345939.0,52318374841.0,161433064655.0,122269140078.0,131372518492.0,58946453175.0,56143710053.0,43939833845.0,64645452404.0,134810993103.0,80351371643.0,62955765538.0,119998442989.0,38386378818.0,81493731273.0,41719284389.0,64402401175.0,104435609433.0,41719284389.0,89738687304.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,106686860182.0
27,VI.이연법인세부채(주석40),2523653053974.0,2673919060178.0,2768399233229.0,2567409197293.0,2295166878970.0,2005103676371.0,1983863437071.0,1807916287201.0,1893295903987.0,2015074709102.0,1917441850786.0,1841815511924.0,1661493670500.0,1594781417548.0,2059344486432.0,1948752186973.0,1717519623773.0,1535531982820.0,1546211735475.0,1470836350296.0,1694503712862.0,1437143892935.0,1098860499051.0,1460038819682.0,1141255799617.0,1000680138179.0,1111725515711.0,1141255799617.0,786913554045.0,518762541876.0,285086133768.0,402956354938.0,375820139158.0,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1585000598026.0
28,VII.기타부채(주석26),353800719226.0,432097371764.0,407076638570.0,400272411589.0,373671531427.0,541775852233.0,435004321883.0,440543941244.0,392513133314.0,506321275622.0,497690490521.0,495993734218.0,521366895490.0,633800978060.0,503364676969.0,399166971514.0,408454801568.0,479085633561.0,398201815774.0,388884233076.0,537835378933.0,442162173420.0,400843682533.0,277549143521.0,255380849421.0,371626009541.0,372390523912.0,255380849421.0,311311485496.0,1362561444451.0,1356801402600.0,1110748830937.0,1002438259012.0,1794752374433.0,1021074552612.0,861940509364.0,788133951020.0,411484081086.0,432636658440.0
29,VIII.특별계정부채(주석44),8591681824507.0,8326020688387.0,8495442013812.0,8248170267117.0,7826288536098.0,7938874744342.0,7769456112507.0,7674604759013.0,7669829363616.0,7532185263531.0,5087053239408.0,5017349310688.0,4659993590629.0,4605037715835.0,4391697949863.0,4444176594747.0,4342004838871.0,4242976437155.0,3947080147765.0,3940131115671.0,3960545660324.0,4048843198011.0,2285573922382.0,2031837802046.0,1713868996738.0,1752382409142.0,1706977594395.0,1713868996738.0,1466492457292.0,1123364085353.0,1064384999954.0,1004141112248.0,890284656743.0,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,2517149324134.0
30,부채총계,71852650825480.0,70850736655669.0,70751704920287.0,69582391937223.0,68401198042912.0,67025123897882.0,66345212302379.0,65316095970811.0,64997228814191.0,64006909646983.0,60602245609176.0,59593242080931.0,58077517769051.0,57209272160406.0,55994195285665.0,55256972275358.0,53983842661608.0,53148344988744.0,52072251831080.0,50860122789147.0,49613273321473.0,48644752937375.0,41553469513413.0,37179562325915.0,31398048996220.0,30180873555615.0,32920819127694.0,31398048996220.0,28372248100289.0,21758064020044.0,19268955311473.0,17350442462334.0,15303651001717.0,13408145133192.0,10016134648794.0,9021247666861.0,7767040951220.0,5648689955609.0,47710597940999.0
31,자본,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
32,I.지배기업지분,13657658173044.0,14299853389856.0,14480089628501.0,13770113294289.0,12866263982511.0,12346491668015.0,12154012198742.0,11615248938766.0,11464171741803.0,11991225069252.0,12411932118504.0,12194869086324.0,11386613737673.0,10990764106328.0,12039494469923.0,11425577365048.0,,10070135258139.0,,,,,,,,,,,,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
33,1.자본금(주석29),26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,25000000000.0,52946837000.0
34,2.연결자본잉여금(주석30),939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,736200419633.0,736076566800.0,731765914431.0,,735927054747.0,731765914431.0,,736626130540.0,734866768876.0,733748895181.0,733340311712.0,731491142048.0,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1458251466309.0
35,3.연결자본조정(주석31),-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1351769727914.0,-971121857264.0,-971121857264.0,-971110153035.0,-971110153035.0,-775351338056.0,-407303944265.0,-80667789418.0,,-86157420442.0,-80667789418.0,,-92496152058.0,-92708254154.0,-93038985802.0,-92881638732.0,838666980330.0,19700000000.0,32800000000.0,33200000000.0,19305000000.0,-185302950296.0
36,4.연결기타포괄손익누계액(주석32),5234801026685.0,5693662935718.0,5895588547377.0,5355208305293.0,4656452255800.0,3895795073880.0,3842890078596.0,3544020771945.0,3767714312538.0,4169234296945.0,4633569951226.0,4635845996523.0,4117461802236.0,3961823814298.0,5105158806381.0,4733573837140.0,4079458113758.0,3541857546320.0,3508684453444.0,3265128017519.0,4000995797693.0,3225867324370.0,2293211468676.0,3382838293187.0,2434342837660.0,,2359982709544.0,2434342837660.0,,1627536594685.0,937167676411.0,950595972112.0,880740936922.0,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,3593152232944.0
37,"5.연결이익잉여금(주석33)(대손준비금적립예정액:10,819,087,886원기적립액:196,726,454,994원)(비상위험준비금적립예정액:154,421,851,634원기적립액:2,078,185,661,357원)",8944370302396.0,9127703610175.0,9106014237161.0,8936418145033.0,8731324882748.0,8972209750172.0,8832635276183.0,8592741322858.0,8217970585302.0,8343503928344.0,8299875323315.0,8080536245838.0,7790665091474.0,7550453448067.0,7455848819579.0,7213516683945.0,6974329570897.0,6914340670906.0,6841200776251.0,6655849904788.0,6410894807786.0,6304886742686.0,5586986657547.0,5207715018506.0,4611015146740.0,,,,,2642188034132.0,2257171223640.0,1797791854130.0,1656099180781.0,1386875696892.0,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
38,II.비지배지분,22451637813.0,21582048047.0,21971056072.0,20582539567.0,20438374692.0,19038803052.0,18232023498.0,17922981771.0,17556562321.0,17053745496.0,17750253310.0,16943300057.0,16717224952.0,17468260264.0,15372473939.0,15691448922.0,15726933493.0,15115455548.0,15171801561.0,13957979558.0,14225993995.0,13453494179.0,20994053192.0,23233857352.0,19772880460.0,19300559964.0,21078057397.0,19772880460.0,18070403037.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,29004812666.0
39,자본총계,13680109810857.0,14321435437903.0,14502060684573.0,13790695833856.0,12886702357203.0,12365530471067.0,12172244222240.0,11633171920537.0,11481728304124.0,12008278814748.0,12429682371814.0,12211812386381.0,11403330962625.0,11008232366592.0,12054866943862.0,11441268813970.0,10548001462111.0,10085250713687.0,10359641942819.0,9929520813428.0,10420713215266.0,9538804177027.0,7888514679492.0,8969033210080.0,7742702408373.0,7206032371313.0,7747556046291.0,7742702408373.0,6824808185668.0,4953984188937.0,3874438899833.0,3420462782282.0,3208532419525.0,2984707493507.0,2775284474626.0,2085301856535.0,2117349277705.0,1656334555124.0,12399151398705.0
40,부채와자본총계,85532760636337.0,85172172093572.0,85253765604860.0,83373087771079.0,81287900400115.0,79390654368949.0,78517456524619.0,76949267891348.0,76478957118315.0,76015188461731.0,73031927980990.0,71805054467312.0,69480848731676.0,68217504526998.0,68049062229527.0,66698241089328.0,64531844123719.0,63233595702431.0,62431893773899.0,60789643602575.0,60033986536739.0,58183557114402.0,49441984192905.0,46148595535995.0,39140751404593.0,37386905926928.0,40668375173985.0,39140751404593.0,35197056285957.0,,,,,16392852626699.0,19700000000.0,32800000000.0,33200000000.0,19305000000.0,60109749339704.0
