,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130401-20131231,20130401-20130930,20130401-20130630,20120401-20130331,20120401-20121231,20120401-20120930,20120401-20120630,20110401-20120331,20110401-20111231,20110401-20110930,20110401-20110630,20100401-20110331,20100401-20101231,20100401-20100930,20100401-20100630,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20010401-20020331,20000401-20010331,19990401-20000331,19980401-19990331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표', '')","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
19,법인세비용,67148447794.0,220711558890.0,217869981873.0,157344661425.0,83696001374.0,385628388789.0,332350272904.0,247589827084.0,109109225694.0,375442876327.0,306048988486.0,233665201746.0,132853428776.0,259158205571.0,234132968954.0,163063422954.0,85476049033.0,257934706001.0,222595420951.0,167743134521.0,91620025791.0,265410302458.0,220630118718.0,155714840249.0,75961696306.0,159216306467.0,120292374556.0,62706014044.0,237548203674.0,169476708409.0,127376553042.0,83506499898.0,279639454365.0,214130661933.0,153215082207.0,85197125389.0,234580826200.0,170594184830.0,115783415713.0,58324282870.0,,,,,,,,,,,,,
20,금융자산손상차손,18768325104.0,36089664879.0,33808311019.0,24097328681.0,6823955572.0,29516580238.0,24991325743.0,24274850795.0,247661610.0,2825299470.0,2536763818.0,2529589880.0,2364786487.0,160368502842.0,95629553539.0,20079112791.0,2035242793.0,16051773908.0,6251084746.0,4849785524.0,338077376.0,19813402658.0,6841950887.0,4399582910.0,2140976874.0,37594648107.0,28442294499.0,28336879499.0,66387866499.0,8088809192.0,1419970305.0,,4743510156.0,4294760922.0,816677879.0,,3972649996.0,2552892666.0,1370514087.0,,,,,,,,,,,,,,
21,보험계약부채전입액,365777661309.0,2406840684043.0,2056885861360.0,1357826083790.0,562489351682.0,2503101080105.0,2129600557326.0,1286546659781.0,594439603994.0,3552624385094.0,2787066712058.0,1877233533107.0,873612495422.0,3634030676430.0,2546634693354.0,1743616706746.0,795508146347.0,4189225452607.0,3350282824741.0,2312465346830.0,838027191742.0,4813593903850.0,3741257623469.0,2563214493030.0,1133012859056.0,4502380040105.0,3040261345121.0,1480174086213.0,5221070852052.0,4275624432630.0,2996711632535.0,1424665551086.0,4637976413698.0,3482522098718.0,2296729637704.0,1152804463407.0,3610784497605.0,2794715102195.0,1968833043827.0,879675231562.0,,,,,,,,,,,,,
22,재보험자산환입액,-66405791940.0,20388800173.0,-43451534763.0,-33693698722.0,-1503892153.0,319449316943.0,145384233716.0,193728153237.0,34946626851.0,-11894942892.0,-110491147786.0,-70019875421.0,-76783886636.0,218425316958.0,268166256686.0,188754130585.0,74191185499.0,-13318222800.0,-223009811726.0,-255055528401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,금융상품평가및처분이익,-35542260224.0,-137772024481.0,-103872269420.0,-85904650571.0,-29644451180.0,-327799593946.0,-316206136161.0,-282418919987.0,-57126073536.0,-38706160542.0,-37773196517.0,-26238581432.0,-12043723710.0,-174857509370.0,-48194151579.0,-32134699974.0,-9540410499.0,-103667618090.0,-102123352243.0,-68128138045.0,-47581574121.0,-46409564951.0,-48550790016.0,-35203856111.0,-16771767143.0,-41674245042.0,-32590160532.0,-19463914543.0,-51735460083.0,-29447102740.0,-22714911306.0,-10047532775.0,-55772078141.0,-66269246724.0,-53165098546.0,-38147238390.0,-103200599279.0,-96062483996.0,-52823420839.0,-15211696574.0,,,,,,,,,,,,,
24,이자수익,-446679775621.0,-1821896325783.0,-1369263156667.0,-910900614895.0,-454683542072.0,-1790927316062.0,-1330371475453.0,-874838424936.0,-433304789845.0,-1678829925833.0,-1245769854079.0,-819813485852.0,-407568707619.0,-1617750831706.0,-1214755889072.0,-812262618284.0,-406119744565.0,-1651300989995.0,-1237318001765.0,-821485596530.0,-410717523029.0,-1625387375768.0,-1204669382760.0,-785229386936.0,-385033973005.0,-1129146594289.0,-741549566660.0,-366098828863.0,-1435345200924.0,-1071503568439.0,-709135432568.0,-348887868037.0,-1297707111176.0,-959766161675.0,-627569941114.0,-305249778697.0,-1132575595293.0,-839847465014.0,-555004749319.0,-271886290086.0,15930427005.0,18205872723.0,16529219144.0,25665377724.0,30143019765.0,13824919430.0,14041568476.0,,,,358319030.0,,
25,외화환산이익,-240625183428.0,-138435923764.0,-255086039237.0,-140766284517.0,-59893670438.0,-127316011635.0,-118346462909.0,-146645986897.0,-8966222250.0,-8972798939.0,-23071313371.0,-15047749235.0,-3592698113.0,-101503377741.0,-9257471436.0,-10212918126.0,-8598410785.0,-193889731302.0,-262853791393.0,-80389378324.0,-23708890742.0,-144764154592.0,-30478557508.0,-6832132081.0,-32916220924.0,-20192663364.0,-17739349205.0,-94048540465.0,-13027780683.0,-11367960231.0,-12464706455.0,-42985729421.0,-74089690711.0,-109854451070.0,-173006482672.0,-2455801765.0,-14232358569.0,-28677831553.0,-35988589181.0,-143315787406.0,2297847464.0,30499663260.0,4588071637.0,233911862.0,440162835.0,656067572.0,698585527.0,2685944278.0,4581958226.0,4581958226.0,21368300371.0,1108901869.0,256099006.0
26,관계기업투자관련이익,-3265135176.0,-2548712288.0,-1151177851.0,-730329575.0,-345746635.0,-2857794944.0,-986460500.0,-614910622.0,-284553060.0,-1502554372.0,,,,-1342885266.0,,,,-1358525709.0,,,,-1360129046.0,,,,-1152834753.0,,,-804018021.0,,,,-640966111.0,,,,-1561513295.0,,,,,,,,,,,,,,,,
27,파생상품거래및평가이익,-20861146135.0,-45005276658.0,-16732178823.0,-10482067844.0,-7012364250.0,-27891312837.0,-15255012949.0,-16838210753.0,-26087758959.0,-317339522365.0,-150850766709.0,-163394758814.0,-217401522554.0,-38931325505.0,-190493599495.0,-39042482721.0,-58160628692.0,-28432217286.0,-9584626315.0,-15939158317.0,-19270958776.0,-39015940306.0,-55104222367.0,-128742784307.0,-10464787978.0,-157615140312.0,-103585362639.0,-7006961599.0,-103005633868.0,-176541259009.0,-61187460490.0,-8527327713.0,-35308644188.0,-29925024823.0,-15516592870.0,-56457395773.0,-58408781932.0,,-16758317161.0,-6271121978.0,,,,,,,,,,,,,
28,유형자산처분이익,-414742462.0,-3307355713.0,-4177548127.0,-4073001652.0,-2222871961.0,-318339729.0,-217845309.0,-104307603.0,-31610603.0,-227162698090.0,-226583261497.0,-225274168304.0,-225242469656.0,-77059259322.0,-73140242413.0,-61619712956.0,-4070370967.0,-193547133.0,-107397801.0,-71316330.0,-861393.0,-1111175518.0,-826296055.0,-729394437.0,-554732433.0,-3614521908.0,-3505641722.0,-163234076.0,-642580697.0,-293539836.0,-97538932.0,-8597232.0,-262202903.0,-175792340.0,-82333000.0,-19889000.0,-1432793836.0,-1020020070.0,-176369689.0,-148895674.0,530191498.0,344077296.0,247819336.0,2474203811.0,1863528324.0,424243756.0,196689433.0,203862285.0,272674236.0,272674236.0,432485533.0,121625758.0,37967239.0
29,리스계약해지이익,-488447291.0,-506034843.0,-84087326.0,-50909832.0,-171383929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
