,Statement of cash flows(Unit: KRW),20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20050101-20041231,20040101-20041231,20030101-20031231,20020101-20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
60,매도가능금융자산의취득,13233318000000.0,6942495000000.0,29152120000000.0,15145980000000.0,2059848000000.0,24796959000000.0,18268676000000.0,9072711000000.0,3250888000000.0,8360550000000.0,17972382000000.0,7132030000000.0,3715707000000.0,11912309000000.0,,,,,,,,,,,,
61,만기보유금융자산의취득,3528350000000.0,2183493000000.0,4250044000000.0,1160610000000.0,537845000000.0,9913276000000.0,8324567000000.0,5501847000000.0,2850467000000.0,6826232000000.0,8402171000000.0,6629923000000.0,3478154000000.0,12072500000000.0,,,,,,,,,,,,
62,공동지배기업및관계기업투자자산의취득,,,144644000000.0,,,97819000000.0,,5400000000.0,60275000000.0,,,,46330000000.0,191913000000.0,,,,,,,,,,,,
63,투자부동산의취득,18000000.0,10000000.0,513000000.0,219000000.0,3673000000.0,2724000000.0,2420000000.0,2320000000.0,12000000.0,1356000000.0,36631000000.0,4662000000.0,441000000.0,,5102000000.0,57266000000.0,,,,,,,,,,
64,유형자산의취득,58613000000.0,31324000000.0,159437000000.0,77585000000.0,45081000000.0,252470000000.0,195291000000.0,135343000000.0,70929000000.0,232456000000.0,166672000000.0,106753000000.0,110999000000.0,194910000000.0,186098000000.0,124348000000.0,43821000000.0,,,,,,,,,
65,무형자산의취득,56081000000.0,49683000000.0,107092000000.0,32606000000.0,14993000000.0,72598000000.0,53368000000.0,34085000000.0,16035000000.0,211778000000.0,239275000000.0,233908000000.0,167186000000.0,59918000000.0,72802000000.0,68387000000.0,7072000000.0,,,,,,,,,
66,매각예정자산의취득,,,7266000000.0,,,,,,,,,,,,,,,,,,,,,,,
67,III.재무활동으로인한현금흐름,-2383337000000.0,-4707057000000.0,4179978000000.0,-73795000000.0,-403994000000.0,-2676439000000.0,-1915265000000.0,-1963350000000.0,-1949815000000.0,175351000000.0,1316712000000.0,268680000000.0,782506000000.0,-2062801000000.0,-313124000000.0,7232802000000.0,-606444000000.0,5370821000000.0,32171274000000.0,28321018000000.0,38539115000000.0,23095387000000.0,23095387000000.0,2308942000000.0,10448508000000.0,15749745000000.0
68,1.재무활동으로인한현금유입액,10127276000000.0,4740396000000.0,14681236000000.0,5576171000000.0,3235921000000.0,9134589000000.0,56007294000000.0,5335070000000.0,2703257000000.0,7852376000000.0,74610117000000.0,46274566000000.0,22394078000000.0,16534164000000.0,255511000000.0,8319096000000.0,1613032000000.0,9109285000000.0,32374637000000.0,28804626000000.0,38921351000000.0,23545610000000.0,23545610000000.0,2483064000000.0,11569479000000.0,15804073000000.0
69,차입부채의순증가,,,3113963000000.0,,,,,,,401121000000.0,,,,,245452000000.0,1334050000000.0,248875000000.0,125975000000.0,4204714000000.0,4019389000000.0,,,,,,
70,발행사채의발행,10048098000000.0,4740396000000.0,10501447000000.0,4898058000000.0,3226252000000.0,8945192000000.0,6648354000000.0,5132791000000.0,2513860000000.0,6942404000000.0,5893361000000.0,4197028000000.0,2436378000000.0,9094550000000.0,,,,,,,,,,,,
71,신종자본증권의발행,,,,,,189397000000.0,189397000000.0,189397000000.0,189397000000.0,309010000000.0,,,,,,,,,,,,,,,,
72,종속기업유상증자,,,80273000000.0,,,,,,,,,,,,,,,,,,,,,,,
73,종속기업신종자본증권발행,,,985553000000.0,,,,,,,,,,,,,,,,,,,,,,,
74,2.재무활동으로인한현금유출액,-12510613000000.0,-9447453000000.0,-10501258000000.0,-5649966000000.0,-3639915000000.0,-11811028000000.0,57922559000000.0,7298420000000.0,-4653072000000.0,-7677025000000.0,73293405000000.0,46005886000000.0,21611572000000.0,18596965000000.0,568635000000.0,1086294000000.0,2219476000000.0,3738464000000.0,203363000000.0,483608000000.0,382236000000.0,450223000000.0,450223000000.0,174122000000.0,1120971000000.0,54328000000.0
75,차입부채의순감소,2501565000000.0,4606559000000.0,,1023826000000.0,1582727000000.0,1186507000000.0,,993495000000.0,989515000000.0,,,,,,,,,,,,,,,,,
76,발행사채의상환,8420073000000.0,4093408000000.0,10084216000000.0,4309913000000.0,2032704000000.0,10257246000000.0,7588548000000.0,5709733000000.0,3597952000000.0,6975522000000.0,5041327000000.0,3423390000000.0,1723709000000.0,12683638000000.0,,,,,,,,,,,,
77,배당금의지급,,,201503000000.0,201503000000.0,,201503000000.0,,201503000000.0,,201503000000.0,,201503000000.0,201503000000.0,80601000000.0,80601000000.0,80947000000.0,80601000000.0,,,,,119468000000.0,119468000000.0,77550000000.0,,
78,신종자본증권의배당금의지급,,7350000000.0,29398000000.0,,7350000000.0,26629000000.0,,,,,,,,,,,,,,,,,,,,
79,비지배지분신종자본증권배당금의지급,,,147498000000.0,,,115165000000.0,,,,,,,,,,,,,,,,,,,,
80,비지배지분의기타순감소,,8029000000.0,38643000000.0,89782000000.0,,23978000000.0,,381759000000.0,,,,,,,,,,,,,,,,,,
81,IV.현금및현금성자산증가(감소)(I+II+III),,623386000000.0,789062000000.0,,-135483000000.0,-468354000000.0,,,,1517913000000.0,,45001000000.0,,,,,-1212525000000.0,,,,,,,,,
82,V.기초현금및현금성자산,,6472459000000.0,5778390000000.0,,5778390000000.0,6417964000000.0,,,,4871109000000.0,,,,5805996000000.0,,,,,,,,,,,,
83,VI.외화표시현금및현금성자산에대한환율변동효과,-30224000000.0,54477000000.0,-94993000000.0,4623000000.0,-15367000000.0,-171220000000.0,-111015000000.0,-60782000000.0,-20264000000.0,28101000000.0,73560000000.0,57515000000.0,-24871000000.0,-29019000000.0,,,,,,,,,,,,
84,Ⅶ.기말현금및현금성자산,,7150322000000.0,6472459000000.0,,5627540000000.0,5778390000000.0,,,,6417123000000.0,,,,4871109000000.0,,,,,,,,,,,,
85,매각예정처분자산집단으로분류된현금및현금성자산,,,303202000000.0,,,,,,,,,,,,,,,,,,,,,,,
86,소유주분배예정자산집단으로분류된현금및현금성자산,,,691608000000.0,,,,,,,,,,,,,,,,,,,,,,,
87,Ⅷ.기말재무상태표상현금및현금성자산,,,5477649000000.0,,,5778390000000.0,,,,,,,,,,,,,,,,,,,,
