,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20150331,20141231,20140930,20140630,20140331,20131231,20121231,20120630,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
19,ifrs_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,90505385000000.0,92997730000000.0,94704541000000.0,92795032000000.0,93226583000000.0,92557954000000.0,90645147000000.0,94973258000000.0,92413913000000.0,89437444000000.0,84331409000000.0,85804014000000.0,83664091000000.0,80588801000000.0,73730300717000.0,68904203175000.0,57245729448000.0,46963221388000.0,42773542047000.0,42742146951000.0,41476603616000.0,41368487708000.0,41068005930000.0,38405314797000.0,17643091450.0,17943100277000.0,14949939891000.0
20,ifrs_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채  [abstract],유동부채,,27024054000000.0,30274473000000.0,31465295000000.0,30817502000000.0,31772356000000.0,29947558000000.0,31331037000000.0,35191142000000.0,35606694000000.0,34768973000000.0,32649080000000.0,34623171000000.0,31169440000000.0,30208486000000.0,27669923453000.0,24347764746000.0,18135509804000.0,15248841366000.0,12632223677000.0,11686659997000.0,15933083543000.0,19125640448000.0,14350000928000.0,18615968188000.0,7157092401.0,-6507360182000.0,-7712415283000.0
21,dart_ShortTermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채  [abstract],유동부채,단기차입금,4255307000000.0,6020775000000.0,7588006000000.0,6716082000000.0,,5123867000000.0,5576375000000.0,,,,,,,,7042141400000.0,9142291365000.0,3417065517000.0,2178010667000.0,2009907237000.0,2847942679000.0,4591162244000.0,5601750892000.0,6896870771000.0,7332698946000.0,2420972147.0,2200689244000.0,4441450357000.0
22,entity00144155_udf_BS_2011529131441828_CurrentLiabilities,매입채무,Short-term trade Payables,재무상태표 [abstract],부채  [abstract],유동부채,매입채무,8277477000000.0,8563475000000.0,8791660000000.0,9997087000000.0,11607673000000.0,10540813000000.0,10741207000000.0,,,,,,,,7100116937000.0,4629132790000.0,5190212338000.0,4096486366000.0,4171614743000.0,2506243408000.0,2776970030000.0,5906366095000.0,1494792959000.0,3318306275000.0,569028940.0,915441972000.0,726108244000.0
23,entity00144155_udf_BS_2014512854816_CurrentLiabilities,미지급금,other Payables,재무상태표 [abstract],부채  [abstract],유동부채,미지급금,2177068000000.0,2663345000000.0,2556153000000.0,2268013000000.0,2259050000000.0,3034812000000.0,2964777000000.0,3499084000000.0,,2756319000000.0,2476888000000.0,2257133000000.0,2460583000000.0,2128370000000.0,2824363241000.0,2273414406000.0,2119693790000.0,1993269947000.0,1713819449000.0,1803507343000.0,3465339768000.0,1901286049000.0,1428603842000.0,2065261290000.0,93672188.0,163894222000.0,87968482000.0
24,ifrs_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채  [abstract],유동부채,충당부채,119689000000.0,133689000000.0,139176000000.0,199593000000.0,166479000000.0,169193000000.0,350041000000.0,682176000000.0,804484000000.0,173208000000.0,171194000000.0,166351000000.0,759126000000.0,149546000000.0,,,,,,,,,,,,,
25,entity00144155_udf_BS_2011527145539543_CurrentLiabilities,기타의유동부채,Other current liabilities,재무상태표 [abstract],부채  [abstract],유동부채,기타의유동부채,7475865000000.0,7350608000000.0,7178677000000.0,6591159000000.0,7217976000000.0,6765604000000.0,6816935000000.0,6909231000000.0,6751082000000.0,7540208000000.0,7169379000000.0,8447858000000.0,6907115000000.0,7252286000000.0,,,,,,,,,,,,,
26,ifrs_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,매각예정부채,Liabilities included in disposal groups classified as held for sale,재무상태표 [abstract],부채  [abstract],유동부채,매각예정부채,215797000000.0,817564000000.0,683000000.0,23761000000.0,45903000000.0,98277000000.0,3252000000.0,5326000000.0,215600000000.0,2093000000.0,,,,,,,,,,,,,,,,,
27,ifrs_CurrentPortionOfLongtermBorrowings,유동성장기부채,Current portion of long-term borrowings,재무상태표 [abstract],부채  [abstract],유동부채,유동성장기부채,4502851000000.0,4725017000000.0,5210940000000.0,5021807000000.0,,4214992000000.0,4878450000000.0,,,,,,,,4188977398000.0,2184295754000.0,1753641799000.0,2243959134000.0,2085104306000.0,1263355314000.0,3385552055000.0,2863135247000.0,2055716154000.0,3614711409000.0,1760566224.0,2123029844000.0,1529985608000.0
28,ifrs_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채  [abstract],비유동부채,,27517190000000.0,27018586000000.0,26471180000000.0,25891093000000.0,25334171000000.0,25989288000000.0,23898521000000.0,25598292000000.0,22784738000000.0,20711519000000.0,19953397000000.0,20218144000000.0,22343329000000.0,21562870000000.0,19916594651000.0,19795417142000.0,15159733215000.0,13603956783000.0,12672340171000.0,16544013947000.0,13492556123000.0,14256828663000.0,15013360189000.0,8686852775000.0,4600764778.0,-6265856440000.0,-4843785559000.0
