,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
58,(8)기타의영업비용,708990000000.0,435514000000.0,353843000000.0,355450000000.0,345171000000.0,,,,,,,,,
59,1.기금출연료,298095000000.0,263626000000.0,199570000000.0,202143000000.0,185842000000.0,,,,,,,,,
60,2.지급보증충당부채전입액,31052000000.0,,8314000000.0,15227000000.0,,,,,,,,,,
61,3.미사용약정충당부채전입액,44936000000.0,23003000000.0,14074000000.0,,41594000000.0,,,,,,,,,
62,4.기타영업잡비용,334907000000.0,148885000000.0,131885000000.0,135488000000.0,117735000000.0,,,,,,,,,
63,III.영업이익,1730797000000.0,917026000000.0,1095138000000.0,1609091000000.0,1444675000000.0,1118820000000.0,623507000000.0,140287000000.0,694696000000.0,910516000000.0,1077933.0,138116000000.0,-1373393000000.0,19625000000.0
64,IV.영업외수익,53079000000.0,46785000000.0,41574000000.0,61625000000.0,36772000000.0,152946000000.0,168885000000.0,398253000000.0,221368000000.0,204559000000.0,146920.0,464275000000.0,63995000000.0,44092000000.0
65,1.유형자산처분이익,261000000.0,226000000.0,280000000.0,16156000000.0,1197000000.0,445000000.0,413000000.0,857000000.0,979000000.0,14233000000.0,2559.0,19027000000.0,,
66,2.임대료,3042000000.0,2813000000.0,2953000000.0,3064000000.0,2807000000.0,1406000000.0,2022000000.0,3425000000.0,3271000000.0,11835000000.0,6076.0,5803000000.0,,
67,3.지분법이익(주석7),1417000000.0,470000000.0,,,,55000000.0,191000000.0,63202000000.0,46281000000.0,,,,,
68,4.지분법적용투자주식처분이익(주석7),134000000.0,7590000000.0,,,,,,,,,,,,
69,5.기타영업외수익,48225000000.0,35686000000.0,38341000000.0,42405000000.0,32768000000.0,63819000000.0,42245000000.0,33400000000.0,27763000000.0,41218000000.0,30631.0,114243000000.0,,
70,V.영업외비용,41724000000.0,36173000000.0,37386000000.0,39814000000.0,30633000000.0,209285000000.0,263524000000.0,223503000000.0,194176000000.0,226341000000.0,518078.0,236411000000.0,454082000000.0,109862000000.0
