,Statement of financial position(Unit: KRW),20140630,20140331,20131231,20130630,20130331,20121231,20120930,20120630,20120331,20120101,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
25,당기법인세부채(주석41),198599000000.0,9648000000.0,9980000000.0,70014000000.0,253664000000.0,178791000000.0,95854000000.0,151640000000.0,385259000000.0,274257000000.0,274257000000.0,230661000000.0,246097000000.0,214011000000.0,173960000000.0,127871000000.0,,,,,,,,,,
26,이연법인세부채(주석41),3609000000.0,19955000000.0,49105000000.0,230690000000.0,139712000000.0,134481000000.0,245563000000.0,131277000000.0,207908000000.0,270033000000.0,260431000000.0,287757000000.0,292957000000.0,448403000000.0,212534000000.0,241796000000.0,61643000000.0,58475000000.0,73258000000.0,95205000000.0,,6613000000.0,4363000000.0,2433000000.0,4858000000.0,1526.0
27,"파생상품부채(주석4,11,25)",,97000000.0,1785000000.0,27757000000.0,27591000000.0,38000000000.0,28916000000.0,34710000000.0,31547000000.0,33493000000.0,33493000000.0,37216000000.0,1220000000.0,4585000000.0,5339000000.0,41236000000.0,4889906000000.0,13801576000000.0,3078048000000.0,1577153000000.0,1325987000000.0,1634509000000.0,420508000000.0,266415000000.0,103979000000.0,207035.0
28,"기타금융부채(주석4,11,24,44,45)",17521552000000.0,19658014000000.0,19914947000000.0,31930343000000.0,24848917000000.0,25544410000000.0,20563753000000.0,17094856000000.0,22209975000000.0,19023665000000.0,19083709000000.0,22533680000000.0,18099201000000.0,19766081000000.0,11648328000000.0,11226749000000.0,,,,,,,,,,
29,"기타부채(주석24,45)",395255000000.0,444280000000.0,411278000000.0,469713000000.0,529668000000.0,508072000000.0,520123000000.0,483445000000.0,563539000000.0,570038000000.0,569783000000.0,559945000000.0,547668000000.0,581126000000.0,399191000000.0,804494000000.0,18591420000000.0,31743043000000.0,22011382000000.0,15438450000000.0,11028773000000.0,8774709000000.0,9011532000000.0,5978833000000.0,-7080301000000.0,7195522.0
30,매각예정처분자산집단에직접관련된부채(주석47),,29738204000000.0,32047626000000.0,,,,,,,,,,,,,,,,,,,,,,,
31,소유주분배예정자산집단에직접관련된부채(주석48),,47251570000000.0,46882414000000.0,,,,,,,,,,,,,,,,,,,,,,,
32,부채총계,240854499000000.0,314359801000000.0,317813613000000.0,312797883000000.0,304571895000000.0,304068738000000.0,300378383000000.0,296259496000000.0,296463165000000.0,292117182000000.0,290718255000000.0,292581997000000.0,282788287000000.0,285933893000000.0,270912564000000.0,265629602000000.0,268916936000000.0,276685692000000.0,234635010000000.0,198572525000000.0,153437886000000.0,127896684000000.0,123069420000000.0,109528767000000.0,95646623000000.0,92993662.0
33,III.자본,,,,,,,,,,,,,,,,,,,,,,,,,,
34,지배기업소유주지분,15867661000000.0,18159433000000.0,17847633000000.0,18857260000000.0,18702607000000.0,18695919000000.0,18678227000000.0,18155983000000.0,18025767000000.0,17555085000000.0,17523998000000.0,16863337000000.0,16413205000000.0,16463646000000.0,15701540000000.0,14734993000000.0,,,,,,,,,,
