,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080929-20081231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
9,(7)감가상각비및상각비,211700000000.0,784431000000.0,558277000000.0,363094000000.0,177390000000.0,409481000000.0,280343000000.0,178051000000.0,86636000000.0,371150000000.0,258332000000.0,163173000000.0,74455000000.0,289438000000.0,192905000000.0,122447000000.0,59279000000.0,257457000000.0,186668000000.0,121291000000.0,60089000000.0,261197000000.0,182462000000.0,121870000000.0,61062000000.0,286858000000.0,204049000000.0,132487000000.0,65185000000.0,328320000000.0,235771000000.0,153891000000.0,75743000000.0,342656000000.0,242019000000.0,153069000000.0,73390000000.0,347834000000.0,245880000000.0,155337000000.0,76390000000.0,,
10,(8)VOBA상각비,44896000000.0,192459000000.0,146220000000.0,98808000000.0,49916000000.0,214153000000.0,162874000000.0,109877000000.0,55619000000.0,179193000000.0,121717000000.0,62030000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,(9)유무형자산기타순손익,-4367000000.0,-33238000000.0,-26755000000.0,-25503000000.0,1875000000.0,-138553000000.0,-143506000000.0,-146123000000.0,-111140000000.0,30893000000.0,12513000000.0,11788000000.0,2245000000.0,5259000000.0,4400000000.0,4964000000.0,3065000000.0,9458000000.0,707000000.0,478000000.0,-437000000.0,41115000000.0,34570000000.0,33262000000.0,9816000000.0,39777000000.0,5667000000.0,5426000000.0,1971000000.0,40881000000.0,363000000.0,2101000000.0,1658000000.0,18533000000.0,2601000000.0,1158000000.0,1088000000.0,426000000.0,786000000.0,618000000.0,-237000000.0,,
12,(10)주식보상비용,-6211000000.0,49418000000.0,27952000000.0,13327000000.0,-4588000000.0,10930000000.0,13775000000.0,1816000000.0,3074000000.0,73370000000.0,48074000000.0,36342000000.0,14766000000.0,38190000000.0,22192000000.0,8350000000.0,3060000000.0,17429000000.0,13861000000.0,10630000000.0,5971000000.0,11422000000.0,6195000000.0,-1942000000.0,-1130000000.0,17289000000.0,8646000000.0,4447000000.0,1448000000.0,13871000000.0,12191000000.0,3114000000.0,5332000000.0,-7609000000.0,-9343000000.0,-6248000000.0,-2614000000.0,-4850000000.0,-13456000000.0,-18178000000.0,-10804000000.0,30413000000.0,
13,(11)책임준비금전입액,281279000000.0,1546271000000.0,1168755000000.0,803320000000.0,472349000000.0,1608175000000.0,1346370000000.0,929760000000.0,431160000000.0,1644389000000.0,1191392000000.0,607447000000.0,-2751000000.0,366145000000.0,305288000000.0,257502000000.0,164292000000.0,659501000000.0,443716000000.0,281303000000.0,137093000000.0,666155000000.0,494930000000.0,326555000000.0,147748000000.0,761877000000.0,574922000000.0,398118000000.0,219066000000.0,1305730000000.0,1142797000000.0,816832000000.0,426612000000.0,673259000000.0,433522000000.0,241249000000.0,114043000000.0,811483000000.0,654153000000.0,476260000000.0,267790000000.0,574336000000.0,175519000000.0
14,(12)확정급여형퇴직급여,57825000000.0,231913000000.0,172089000000.0,114629000000.0,57170000000.0,220215000000.0,162706000000.0,109671000000.0,56545000000.0,233501000000.0,174863000000.0,102165000000.0,47219000000.0,197696000000.0,142306000000.0,95149000000.0,47990000000.0,187882000000.0,140355000000.0,93550000000.0,46823000000.0,166671000000.0,124740000000.0,82925000000.0,41116000000.0,172579000000.0,130683000000.0,87198000000.0,43750000000.0,172391000000.0,119784000000.0,79786000000.0,40003000000.0,204337000000.0,112984000000.0,76374000000.0,38489000000.0,151343000000.0,197082000000.0,95629000000.0,55889000000.0,,
15,(13)순이자이익,186031000000.0,313550000000.0,,,96420000000.0,277152000000.0,,,,363803000000.0,302054000000.0,212290000000.0,235563000000.0,,309106000000.0,193142000000.0,58172000000.0,431157000000.0,355385000000.0,236681000000.0,114280000000.0,360500000000.0,171806000000.0,124393000000.0,61082000000.0,314866000000.0,146389000000.0,94370000000.0,57956000000.0,229691000000.0,160260000000.0,70974000000.0,32259000000.0,84470000000.0,-71749000000.0,41145000000.0,18305000000.0,17943000000.0,-82583000000.0,-9164000000.0,-11718000000.0,,
16,(14)외화환산손익,24422000000.0,-74488000000.0,-170516000000.0,5709000000.0,-112552000000.0,-142586000000.0,-159870000000.0,-147721000000.0,-87672000000.0,-70399000000.0,-259709000000.0,20151000000.0,129769000000.0,15931000000.0,182830000000.0,92191000000.0,45118000000.0,228727000000.0,252069000000.0,-137709000000.0,58761000000.0,116035000000.0,37960000000.0,-32168000000.0,15269000000.0,17082000000.0,21112000000.0,45145000000.0,34908000000.0,-148877000000.0,61347000000.0,24380000000.0,-49058000000.0,273971000000.0,203395000000.0,275590000000.0,130210000000.0,666451000000.0,537413000000.0,-34590000000.0,29940000000.0,,
17,(15)기타손익,121118000000.0,390074000000.0,298237000000.0,199028000000.0,107616000000.0,207025000000.0,129035000000.0,63124000000.0,39635000000.0,204122000000.0,168054000000.0,126664000000.0,58595000000.0,65412000000.0,105556000000.0,59183000000.0,38977000000.0,88518000000.0,69671000000.0,25785000000.0,30396000000.0,-17076000000.0,-48021000000.0,-80862000000.0,1117000000.0,-24981000000.0,-8979000000.0,61133000000.0,46176000000.0,2783000000.0,32925000000.0,19658000000.0,-3419000000.0,130206000000.0,130711000000.0,13386000000.0,-20518000000.0,129629000000.0,252260000000.0,186721000000.0,63544000000.0,,
18,3.자산ㆍ부채의증감,-2617906000000.0,2681695000000.0,4293434000000.0,5657734000000.0,4351181000000.0,-15317421000000.0,-15117159000000.0,-12474657000000.0,-8109378000000.0,-11417417000000.0,-12087472000000.0,-8534745000000.0,-2688905000000.0,-2426441000000.0,-869648000000.0,596494000000.0,-1284992000000.0,-2066945000000.0,-2090946000000.0,-1743271000000.0,-3497479000000.0,-941958000000.0,-1203192000000.0,1771331000000.0,350983000000.0,-10786406000000.0,-4698842000000.0,-7633889000000.0,-2489723000000.0,2422086000000.0,-1857489000000.0,751686000000.0,1338727000000.0,-8891095000000.0,-8231322000000.0,-5708711000000.0,-3906442000000.0,9830121000000.0,5426752000000.0,1434229000000.0,1941702000000.0,,
