,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010327-20021231,20010327-20011231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
73,10.통신비,64461000000.0,67792000000.0,66061000000.0,58277000000.0,53106000000.0,50738000000.0,51520000000.0,41868000000.0,27682000000.0,25294000000.0,25294000000.0
74,11.용역비,172839000000.0,165661000000.0,172058000000.0,139210000000.0,126573000000.0,112694000000.0,119306000000.0,68783000000.0,205279000000.0,74419000000.0,74419000000.0
75,12.전산업무비,105823000000.0,93191000000.0,95791000000.0,99673000000.0,97805000000.0,102716000000.0,82688000000.0,76080000000.0,31889000000.0,38507000000.0,38507000000.0
76,13.주식보상비용,,976000000.0,691000000.0,1092000000.0,344000000.0,4318000000.0,1100000000.0,1460000000.0,,,
77,14.명예퇴직급여,35977000000.0,27222000000.0,29408000000.0,22641000000.0,31569000000.0,86481000000.0,21095000000.0,,,,
78,15.기타판매비와관리비,164633000000.0,135393000000.0,165395000000.0,135920000000.0,147392000000.0,145097000000.0,100944000000.0,157224000000.0,128838000000.0,70916000000.0,70916000000.0
79,(7)보험비용,1147654000000.0,718368000000.0,500592000000.0,,,,,,,,
80,1.지급보험금,238518000000.0,198531000000.0,,,,,,,,,
81,2.재보험비용,33094000000.0,26552000000.0,29304000000.0,,,,,,,,
82,3.책임준비금전입액,723887000000.0,381686000000.0,200580000000.0,,,,,,,,
83,4.사업비,52581000000.0,35292000000.0,33775000000.0,,,,,,,,
84,5.기타보험비용,99574000000.0,76307000000.0,58666000000.0,,,,,,,,
85,(8)기타영업비용(주석29),9312793000000.0,19078595000000.0,46097113000000.0,7328986000000.0,3972416000000.0,5395448000000.0,5902474000000.0,3744409000000.0,2882784000000.0,-3003910000000.0,-3003910000000.0
86,1.지급보증충당부채전입액,16795000000.0,34767000000.0,27262000000.0,53889000000.0,31595000000.0,,,,,,
87,2.미사용약정충당부채전입액,65551000000.0,36364000000.0,55144000000.0,40458000000.0,153582000000.0,,,,,,
88,3.기타충당부채전입액,154953000000.0,55015000000.0,135312000000.0,39288000000.0,57710000000.0,,,,,,
89,4.파생상품관련거래손실,5900197000000.0,14996864000000.0,32746751000000.0,4095540000000.0,2409415000000.0,,,,,,
90,5.파생상품관련평가손실(주석32),2318304000000.0,3194588000000.0,12154986000000.0,2456037000000.0,896822000000.0,,,,,,
91,6.공정가액위험회피대상관련손실,158296000000.0,73675000000.0,392977000000.0,109874000000.0,58769000000.0,,,,,,
92,7.예금보험료,211581000000.0,182568000000.0,150547000000.0,148224000000.0,146429000000.0,,,,,,
93,8.기금출연료,341823000000.0,339321000000.0,321309000000.0,249516000000.0,200711000000.0,,,,,,
94,9.신탁업무관련비용,149000000.0,232000000.0,216000000.0,893000000.0,1032000000.0,,,,,,
95,10.기타,145144000000.0,165201000000.0,151889000000.0,83491000000.0,65577000000.0,49686000000.0,3511000000.0,25630000000.0,191680000000.0,365390000000.0,365390000000.0
96,III.영업이익,1838734000000.0,1383261000000.0,1115659000000.0,2915662000000.0,2748368000000.0,2030553000000.0,1107394000000.0,343236000000.0,715258000000.0,311717000000.0,311717000000.0
97,IV.영업외수익,220621000000.0,287988000000.0,203067000000.0,136937000000.0,274821000000.0,573219000000.0,482946000000.0,639883000000.0,540113000000.0,1190685000000.0,1190685000000.0
98,1.지분법이익(주석8),100303000000.0,53689000000.0,76727000000.0,43500000000.0,44750000000.0,123870000000.0,40426000000.0,33980000000.0,23950000000.0,1479000000.0,1479000000.0
99,2.유형자산처분이익,12302000000.0,140130000000.0,8842000000.0,1356000000.0,3382000000.0,20680000000.0,17934000000.0,17718000000.0,8649000000.0,1424000000.0,1424000000.0
100,3.임대료,10614000000.0,9661000000.0,11705000000.0,10331000000.0,8655000000.0,7817000000.0,6779000000.0,6664000000.0,5538000000.0,7550000000.0,7550000000.0
101,4.기타자산처분이익,,161000000.0,558000000.0,205000000.0,673000000.0,527000000.0,,,,,
102,5.기타,97402000000.0,84347000000.0,151889000000.0,83491000000.0,65577000000.0,49686000000.0,3511000000.0,25630000000.0,191680000000.0,365390000000.0,365390000000.0
103,V.영업외비용,264204000000.0,211431000000.0,128326000000.0,129382000000.0,109477000000.0,458068000000.0,397766000000.0,752057000000.0,800487000000.0,937984000000.0,937984000000.0
104,1.지분법손실(주석8),63457000000.0,36984000000.0,20842000000.0,20887000000.0,16377000000.0,12326000000.0,6094000000.0,,,,
105,2.유형자산처분손실,2237000000.0,1117000000.0,994000000.0,1694000000.0,4813000000.0,9442000000.0,4748000000.0,1661000000.0,19291000000.0,60583000000.0,60583000000.0
106,3.기타자산손상차손,4486000000.0,13278000000.0,,1805000000.0,,,,,,,
107,4.기타자산처분손실,527000000.0,,,,,,,,,,
108,5.기부금,80875000000.0,62531000000.0,48232000000.0,28555000000.0,33129000000.0,23812000000.0,7107000000.0,2013000000.0,2245000000.0,4211000000.0,4211000000.0
109,6.기타,112622000000.0,97521000000.0,151889000000.0,83491000000.0,65577000000.0,49686000000.0,3511000000.0,25630000000.0,191680000000.0,365390000000.0,365390000000.0
110,VI.법인세비용차감전계속사업손익,1795151000000.0,1459818000000.0,1190400000000.0,,,,,,,,
111,VII.계속사업손익법인세비용(주석24),495541000000.0,402586000000.0,602780000000.0,,,,,,,,
112,VIII.종속회사의매수일전순손실(주석29),,-20213000000.0,-1035000000.0,,,,,,,,
113,IX.계속사업이익,1299610000000.0,1077445000000.0,588655000000.0,,,,,,,,
114,X.중단사업손익,,38328000000.0,-153000000.0,,,,,,,,
115,XI.연결당기순이익,1299610000000.0,1115773000000.0,588502000000.0,,,1688221000000.0,1261925000000.0,56279000000.0,591588000000.0,686287000000.0,686287000000.0
116,1.지배회사지분순이익,1194979000000.0,1026024000000.0,454478000000.0,1939238000000.0,2029319000000.0,,,,,,
117,2.소수주주지분순이익,104631000000.0,89749000000.0,134024000000.0,175122000000.0,159888000000.0,,,,,,
118,XII.주당순이익(주석25),,,,,,,,,,,
119,1.주당지배회사지분순이익,1483.0,1273.0,564.0,2406.0,2518.0,,,,,,
