,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20130331,20111231,20110331,20080401-20090331,20070331,20060331,20050331,20040331,20030331,20020331,20010331,20000331,19000101
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
23,"Ⅴ.위험회피목적파생상품부채(주석8,9)",938185000000.0,455285000000.0,840893000000.0,571458000000.0,356233000000.0,266692000000.0,265039000000.0,336179000000.0,289716000000.0,239429000000.0,509042000000.0,373963000000.0,246723000000.0,721269000000.0,314028000000.0,558292000000.0,551571000000.0,620184000000.0,916776000000.0,484401000000.0,402245000000.0,528978000000.0,579136000000.0,813166000000.0,1331071000000.0,1099927000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
24,Ⅵ.당기법인세부채,577117000000.0,138986000000.0,128470000000.0,114313000000.0,274024000000.0,363813000000.0,93369000000.0,613216000000.0,356029000000.0,78715000000.0,81859000000.0,67769000000.0,78583000000.0,69599000000.0,37410000000.0,59401000000.0,73999000000.0,15174000000.0,6826000000.0,6148000000.0,369000000.0,5880000000.0,759000000.0,7000000.0,102087000000.0,146866000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
25,Ⅶ.이연법인세부채(주석20),6257696000000.0,7850375000000.0,7892032000000.0,7295091000000.0,6459102000000.0,5293854000000.0,5926648000000.0,5516809000000.0,6042755000000.0,6668710000000.0,6288649000000.0,6114834000000.0,5403605000000.0,4976383000000.0,5911794000000.0,5574149000000.0,4942139000000.0,4427612000000.0,4336320000000.0,4275807000000.0,5064117000000.0,4195262000000.0,3620619000000.0,4509536000000.0,2854866000000.0,2445540000000.0,1768832.0,2116223000000.0,2267718000000.0,98220000000.0,,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,528310.0
26,Ⅷ.충당부채(주석21),297785000000.0,251896000000.0,336338000000.0,330720000000.0,325798000000.0,335416000000.0,291025000000.0,294574000000.0,292071000000.0,239350000000.0,277440000000.0,286293000000.0,317051000000.0,309532000000.0,283333000000.0,269927000000.0,274173000000.0,162282000000.0,156853000000.0,140022000000.0,162178000000.0,157222000000.0,98009000000.0,97593000000.0,102813000000.0,108061000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
27,Ⅸ.기타부채(주석22),1187854000000.0,1067791000000.0,1149691000000.0,1042204000000.0,1107963000000.0,1029980000000.0,1018557000000.0,977605000000.0,1027252000000.0,1009339000000.0,1026265000000.0,1033229000000.0,1201822000000.0,988811000000.0,1020845000000.0,1055971000000.0,1072774000000.0,506663000000.0,629614000000.0,666822000000.0,750923000000.0,503705000000.0,470914000000.0,647006000000.0,322416000000.0,267913000000.0,-4517680.0,17338841000000.0,14646428000000.0,10396723000000.0,-8585221000000.0,-7878911000000.0,-6476859076000.0,-4947674367000.0,-3415361990000.0,-6534462.0
28,X.특별계정부채(주석15),50691762000000.0,53143545000000.0,48575100000000.0,48413994000000.0,47859087000000.0,46976616000000.0,47064809000000.0,46708633000000.0,46846786000000.0,47180437000000.0,45670771000000.0,45445545000000.0,44354438000000.0,43857426000000.0,42080203000000.0,41624673000000.0,41012427000000.0,40571594000000.0,39671035000000.0,39432469000000.0,38750485000000.0,37595813000000.0,32087408000000.0,28277936000000.0,23107039000000.0,21648131000000.0,-19637407.0,13404692000000.0,10779176000000.0,7563163000000.0,6105420000000.0,5396680000000.0,4238207648000.0,3138924690000.0,1751905696000.0,-16645905.0
29,부채총계,275141876000000.0,275445867000000.0,269298386000000.0,265833237000000.0,263583460000000.0,258922196000000.0,258014672000000.0,255295406000000.0,253531797000000.0,251592245000000.0,248904655000000.0,244319474000000.0,238905888000000.0,236345353000000.0,231208517000000.0,227441370000000.0,222657321000000.0,206641151000000.0,202703054000000.0,199668193000000.0,198201830000000.0,192148975000000.0,173908992000000.0,164367895000000.0,139266619000000.0,131148938000000.0,120971007.0,100079990000000.0,91396555000000.0,82697939000000.0,76446351000000.0,-67291889000000.0,58968394627000.0,50360794765000.0,44934896204000.0,114283558.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
31,Ⅰ.지배기업지분,32866183000000.0,35667037000000.0,,,,28902094000000.0,,,,29358947000000.0,,,,26644237000000.0,,,,23645836000000.0,,,,22204919000000.0,,,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
32,1.자본금(주석23),100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,-100000.0,100000000000.0,100000000000.0,100000000000.0,-100000000000.0,-100000000000.0,-100000000000.0,-100000000000.0,-100000000000.0,-100000.0
33,2.자본잉여금(주석23),125115000000.0,125115000000.0,125115000000.0,125115000000.0,125115000000.0,125115000000.0,91844000000.0,91844000000.0,63084000000.0,63084000000.0,63084000000.0,63084000000.0,63084000000.0,63084000000.0,6131000000.0,6131000000.0,6131000000.0,6131000000.0,6131000000.0,9115000000.0,7126000000.0,7126000000.0,6131000000.0,6131000000.0,6131000000.0,6131000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
34,3.자본조정(주석23),-2116955000000.0,-2116955000000.0,-2116955000000.0,-2116955000000.0,-2116955000000.0,-2116955000000.0,-2116955000000.0,-2116955000000.0,-2116955000000.0,-2116955000000.0,-2117768000000.0,-2117768000000.0,-2117768000000.0,-2117768000000.0,-2117768000000.0,-2117768000000.0,-2117768000000.0,-1575774000000.0,-1087747000000.0,-1086828000000.0,-1086908000000.0,-1086828000000.0,-882863000000.0,-560318000000.0,-262360000000.0,13493000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
35,4.기타포괄손익누계액(주석23),18954514000000.0,21509453000000.0,21780527000000.0,20122902000000.0,17940533000000.0,15245998000000.0,15737168000000.0,14832609000000.0,15749011000000.0,17073526000000.0,18481502000000.0,18109402000000.0,16165977000000.0,15310260000000.0,17837439000000.0,16737863000000.0,14865113000000.0,13548291000000.0,13078369000000.0,12588308000000.0,14849267000000.0,12488331000000.0,10236507000000.0,12917226000000.0,8434238000000.0,7613827000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
36,5.이익잉여금(주석23),15803509000000.0,16049424000000.0,16048898000000.0,15828669000000.0,15519351000000.0,15547936000000.0,15607285000000.0,15326544000000.0,14270473000000.0,14239292000000.0,14340111000000.0,14019898000000.0,13639433000000.0,13288661000000.0,13289617000000.0,12803946000000.0,12474449000000.0,11567188000000.0,11534398000000.0,11262409000000.0,10819647000000.0,10696290000000.0,9510401000000.0,9205731000000.0,8079004000000.0,8016540000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
37,Ⅱ.비지배지분,1623004000000.0,1649368000000.0,,,,1603365000000.0,,,,1762625000000.0,,,,1664211000000.0,,,,75909000000.0,76493000000.0,,,79820000000.0,60215000000.0,,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
38,자본총계,34489187000000.0,37316405000000.0,37567059000000.0,35665942000000.0,33163730000000.0,30505459000000.0,31107684000000.0,29909965000000.0,29812836000000.0,31121572000000.0,32583700000000.0,31858533000000.0,29503241000000.0,28308448000000.0,30907842000000.0,29403151000000.0,27184711000000.0,23721745000000.0,23707644000000.0,22949563000000.0,24768490000000.0,22284739000000.0,19030391000000.0,21780967000000.0,16360419000000.0,15754411000000.0,12190244.0,8784722000000.0,8277927000000.0,8271753000000.0,6936723000000.0,-5852708000000.0,-5369343347000.0,-3233313764000.0,-2270544193000.0,7495024.0
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
40,부채와자본총계,309631063000000.0,312762272000000.0,306865445000000.0,301499179000000.0,296747190000000.0,289427655000000.0,289122356000000.0,285205371000000.0,283344633000000.0,282713817000000.0,281488355000000.0,276178007000000.0,268409129000000.0,264653801000000.0,262116359000000.0,256844521000000.0,249842032000000.0,230362896000000.0,226410698000000.0,222617756000000.0,222970320000000.0,214433714000000.0,192939383000000.0,186148862000000.0,155627038000000.0,146903349000000.0,133161251.0,108864712000000.0,99674482000000.0,90969692000000.0,-83383074000000.0,-73144597000000.0,64337737974000.0,53594108529000.0,47205440397000.0,121778582.0
