,Income statement(Unit: KRW),20100401-20110331,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20010401-20020331,20000401-20010331,19990401-20000331,19980401-19990331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표', '')","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
80,4.특별계정수입수수료,6341714790.0,11554881589.0,7518182711.0,6111753332.0,5166987707.0,4384540790.0,3382692676.0,2462835342.0,2724590946.0,1584885795.0,1584885795.0,1033466546.0,1048117149.0,
81,5.영업외잡이익,15214915933.0,9039882950.0,10975763705.0,8249887919.0,19622396113.0,6358264672.0,9309789570.0,5151610013.0,10392490577.0,4003578438.0,4003578438.0,4413987068.0,10460026263.0,7213797052.0
82,Ⅴ.영업외비용,19563631107.0,20118621271.0,24604656922.0,47325110042.0,24672095399.0,92455202767.0,98796117284.0,114848269368.0,87287944767.0,62957982918.0,45051520880.0,33996466914.0,43764103189.0,46937615158.0
83,1.지분법손실(주석7),767590201.0,160498848.0,230082912.0,879538725.0,99300017.0,,2025184896.0,814695119.0,,462907348.0,462907348.0,,,
84,2.유형자산처분손실,351995897.0,194650986.0,398377596.0,478000.0,114134474.0,64044950.0,105476113.0,175229398.0,39282167.0,4497349983.0,4497349983.0,35071181.0,120969233.0,486105812.0
85,3.기부금(주석36),14016725540.0,15759908990.0,15146843350.0,20552600738.0,19999607235.0,22942573107.0,22389717282.0,18461864370.0,12144073740.0,7793370600.0,7793370600.0,5861351910.0,6284676000.0,11898455282.0
86,4.특별계정지급수수료,746769985.0,443913634.0,317750005.0,337333869.0,422979683.0,438417159.0,623476659.0,320046540.0,86523860.0,59217313.0,59217313.0,75483889.0,70134639.0,
87,5.영업외잡손실,3680549484.0,3559648813.0,8511603059.0,24488641923.0,4036073990.0,14236615455.0,6134593615.0,1429959229.0,2188415240.0,5209926209.0,5209926209.0,1521029186.0,622877331.0,1942104627.0
88,Ⅵ.법인세비용차감전순이익,896870790414.0,694610553642.0,828083650484.0,664567925071.0,485273454614.0,361628212303.0,388020245705.0,240287513542.0,385302696148.0,401072974041.0,398003289003.0,136789272840.0,193834403349.0,168025786955.0
89,Ⅶ.법인세비용(주석28),230120144564.0,168958925800.0,227710958868.0,187511769276.0,143784101877.0,99358952155.0,109617369216.0,70028535745.0,117311542644.0,123198962153.0,123198962153.0,46005146875.0,58793153679.0,47018447523.0
90,Ⅷ.당기순이익,666750645850.0,525651627842.0,600372691616.0,477056155795.0,341489352737.0,262269260148.0,278402876489.0,170258977797.0,267991153504.0,277874011888.0,274804326850.0,90784125965.0,135041249670.0,101586874305.0
91,1.지배회사지분순이익,664852061917.0,524510209592.0,598707900610.0,476565656209.0,341098317489.0,262042083565.0,278205959078.0,170122509070.0,267897879312.0,277868082095.0,274798397057.0,90866589015.0,134974506315.0,101377587674.0
92,2.소수주주지분순이익,1898583933.0,1141418250.0,1664791006.0,490499586.0,391035248.0,227176583.0,196917411.0,136468727.0,-93274192.0,-5929793.0,,,,209286631.0
93,Ⅸ.지배회사지분주당이익(주석29),,,,,,,,,,,,,,
94,1.기본주당순이익,14975.0,11823.0,13542.0,10408.0,7486.0,,,,,,,,,
95,2.희석주당순이익,14945.0,11789.0,13488.0,10359.0,7447.0,,,,,,,,,
