,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20121231,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20040101-20041231,19000101
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
18,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,매출채권및기타채권,146387210635.0,124821356161.0,132653625623.0,125593308543.0,115743059570.0,113160988276.0,110414604634.0,90590509394.0,78119647758.0,74199645388.0,66902752176.0,94998217547.0,784859453129.0,122501672197.0,97204517698.0,95118011870.0,81201278247.0,71364581468.0,455303984000.0,424079774000.0,406698115000.0,421566102000.0,324456229255.0,291010455012.0,238134323948.0,185411174352.0,175729468332.0,173827519874.0,196481966246.0,186575198760.0,,,,,,,,
19,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,Non-current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,매도가능금융자산,,,,,,,,,,943632439930.0,971300680366.0,1017854170937.0,53186474907.0,385267016322.0,353797897519.0,334461628086.0,313225320640.0,313297731930.0,39170593000.0,38679590000.0,38242736000.0,37980980000.0,4516250000.0,40386743849.0,29859084385.0,63904214942.0,6063032967.0,6826087434.0,159341651254.0,35189443731.0,,,,,,,,
20,entity00266961_udf_BS_20185313934356_NoncurrentAssets,기타포괄손익-공정가치금융자산,Non-Current Fair Value through Other Comprehensive Income Financial Instruments,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치금융자산,586186304852.0,675602433315.0,685113275039.0,707572770355.0,694564416536.0,666651322237.0,74083150934.0,89126861967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,dart_NonCurrentFinancialAssetsHeldToMaturity,만기보유금융자산,Non-current financial assets held to maturity,재무상태표 [abstract],자산 [abstract],비유동자산,만기보유금융자산,,,,,,,,,,2660696298.0,2860800532.0,2852950470.0,2799787672.0,2907350285.0,3038988748.0,3175132506.0,2877687015.0,2726392064.0,2796090000.0,3214874000.0,3225953000.0,2581611000.0,2819521276.0,3501999777.0,3272410084.0,3094526173.0,2357462706.0,1408455305.0,1444088845.0,,,,,,,,,
22,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업및공동기업 투자,Investments accounted for using equity method,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업및공동기업 투자,1841315195918.0,1558268184714.0,1462461374141.0,1404796622607.0,1086375321838.0,1001362122331.0,830635909913.0,736828859103.0,580273056339.0,280997122915.0,302651813716.0,259260099070.0,185369645320.0,182152420107.0,128048491377.0,120491901499.0,65232425957.0,64864935132.0,52899886000.0,44653599000.0,41413128000.0,35953859000.0,,,,,,,,,,,,,,,,
23,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,400979071574.0,381279417985.0,384752785864.0,334951422511.0,322167707829.0,340178774174.0,254758838330.0,243662285654.0,236454032973.0,248493530447.0,255507618738.0,229286416127.0,247353948169.0,285890760768.0,269549533249.0,269585014729.0,251567136288.0,244792136518.0,144841481000.0,126090119000.0,113668928000.0,118759898000.0,132479739648.0,65095671236.0,50013950488.0,47220090128.0,46090125204.0,42320337016.0,52931073650.0,37067750980.0,29170998188.0,19560711058.0,21660730043.0,10857678816.0,9762526566.0,9163580988.0,,
24,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,31314078412.0,27643793571.0,22802808590.0,34001868609.0,32339439618.0,30612323543.0,27021037880.0,33208280517.0,30595859144.0,36063392760.0,19424065562.0,19728337551.0,25729714346.0,20073730970.0,29661834788.0,26170318750.0,26967978860.0,26362248309.0,33908212000.0,30197607000.0,24650559000.0,19406967000.0,18703755200.0,30001194384.0,33100182340.0,38978907903.0,36280613910.0,29676109685.0,26212386306.0,28802035486.0,92428187106.0,88140556042.0,31230831092.0,20476195909.0,,,,
25,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,13766033857041.0,12299527120786.0,11806716744718.0,11436575803347.0,10896141416540.0,9881190909324.0,9914242793452.0,8528795965484.0,8367388514094.0,8019251559914.0,7620181109693.0,7201514565819.0,6441452189643.0,6370635180592.0,5995261107201.0,4927455875640.0,4525184094283.0,4385913018121.0,4157156336000.0,3805434014000.0,3568141598000.0,3394457894000.0,2697746840242.0,2927316669380.0,2372705276265.0,2256465912025.0,2198932507849.0,2145948454758.0,1966957587830.0,1472565386448.0,1605435243167.0,1219210588170.0,856184487555.0,582258826276.0,405576964012.0,371348253733.0,371348253733.0,
26,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,4097111757227.0,3773118830740.0,3343625030335.0,3216112278843.0,3021787393327.0,2619671652587.0,2863671774187.0,2341942708546.0,2511730430285.0,2302730294235.0,1969679185543.0,1764428768411.0,1701116390492.0,1803925551271.0,1308750685918.0,1842290901339.0,1693334081189.0,1683655879811.0,1585189708000.0,1338749209000.0,1140568485000.0,1080709107000.0,832373207324.0,645391208130.0,532803324085.0,468408906232.0,476764523963.0,476441667514.0,398864572921.0,435521719522.0,454547057482.0,324001901470.0,260612433913.0,191860442092.0,161065337370.0,102898937904.0,102898937904.0,
27,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무및기타채무,1121799769876.0,1211070361564.0,1136843887115.0,1138519366107.0,988828254104.0,896276258656.0,918844528867.0,724264573399.0,737645003567.0,770724455666.0,678675932289.0,617667396381.0,568655907319.0,671823271030.0,576651598675.0,547438594856.0,568059774018.0,548631754883.0,474587763000.0,458673349000.0,388056944000.0,471605310000.0,270627493298.0,255279507160.0,230721210792.0,175687753588.0,177090484873.0,164370927726.0,176835387060.0,171071044721.0,,,,,,,,
