,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
18,"무형자산(주석14,22)",49320761090.0,49580055884.0,54601246297.0,54003811215.0,54755957237.0,54377478827.0,51399309359.0,52252355407.0,52197889309.0,52405762249.0,53907249109.0,53848768399.0,52854370028.0,53345011970.0,61756931089.0,63271692688.0,63304898787.0,64225894954.0,83975033114.0,95218962819.0,95981660436.0,94558977229.0,101406811586.0,109623036698.0,110788448184.0,112105218417.0,117734537387.0,120682351134.0,131806599577.0,133317457453.0,30254647092.0,27058932155.0,25346321968.0,11977633657.0,16990070306.0,14872712305.0,7741129314.0,14282384054.0,13384867668.0,16326944788.0,11833248095.0
19,기타비유동자산(주석10),10385915740.0,5982205808.0,,10000000000.0,10000000000.0,10000000000.0,6000000000.0,6000000000.0,6000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,,,102351930.0,107102456.0,114262008.0,87031146.0,181425111.0,99741531.0,195377296.0,71528461.0,104001173.0,127132397.0,181614157.0,220011785.0,300778170.0,336878366.0,1772460116.0,2970139036.0,5811146890.0,23154342240.0,18924160236.0,23205033871.0,22559635929.0,,,,
20,확정급여자산(주석20),242090801.0,266843807.0,226529574.0,223104863.0,229644354.0,4213226220.0,,,6874207146.0,10557946640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,이연법인세자산(주석31),700178152.0,826103945.0,8224678296.0,7872103785.0,6202889498.0,5008379005.0,4819749609.0,4977533457.0,4580663256.0,3208678257.0,2377940005.0,1886415303.0,1497846114.0,1411581093.0,30671187825.0,28826342826.0,23224698032.0,23988877041.0,25770229416.0,26855800656.0,22733758628.0,25665726286.0,25312312971.0,24285068998.0,28397055172.0,23170454665.0,18489995984.0,16448770933.0,14924623475.0,15013913871.0,9610587292.0,12868845725.0,3449374410.0,,1582196118.0,1884573700.0,2256861222.0,247626529.0,3007595921.0,,
22,자산총계,3570851217329.0,3346377400385.0,3200809581814.0,3176309688026.0,3290740204778.0,2941278714044.0,3034473699356.0,3301692524075.0,3480562860951.0,3526567160619.0,3160026338539.0,2741094294997.0,2357689630905.0,2360802861680.0,2240731426384.0,2206188590725.0,2224057696791.0,2219197320342.0,2178957784212.0,2119786873265.0,2108320960846.0,1698826127743.0,1612190468503.0,1549242994895.0,1532116306458.0,1479521681932.0,1434800835424.0,1413503053105.0,1354044049230.0,1316825985169.0,1113431660024.0,1023541800118.0,843273208399.0,851381724673.0,518558599163.0,546003252937.0,506799007950.0,457113736492.0,367835970965.0,250687319642.0,248510618097.0
23,부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,I.유동부채,558216024736.0,449764539269.0,310671480877.0,317442938499.0,468344015351.0,473074463192.0,434128728548.0,485967756299.0,792311367601.0,455797606235.0,422463980458.0,253869840852.0,349583278875.0,284355732572.0,227029332834.0,241662918932.0,353448853458.0,337541365649.0,330649752502.0,309025966378.0,359528181449.0,245386466697.0,223004338230.0,235134829366.0,272191211048.0,251845267481.0,246253479953.0,256632307406.0,233189384559.0,235652439668.0,198682914677.0,191694019750.0,199790256777.0,187343844462.0,83145067034.0,89689774622.0,79604793273.0,55692703366.0,44297847905.0,20112207523.0,40933269432.0
25,"차입금(주석18,34,35,36)",11100227280.0,11310003450.0,13866283600.0,13953550000.0,5141200000.0,155050580963.0,154842105279.0,149890722579.0,,149818736419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"기타지급채무(주석15,22,33,34,35)",203296864789.0,52862846316.0,68060607655.0,42086277774.0,250100187732.0,33306635323.0,71903397733.0,29766979894.0,379688357025.0,48395093540.0,39183445516.0,34529472256.0,134524145522.0,39464689132.0,24859801056.0,24712568627.0,94106281843.0,31338059470.0,27525519662.0,28610503677.0,124019238589.0,27943219747.0,23676250701.0,25257950885.0,52813669945.0,22558855059.0,33704970160.0,42574156658.0,36621575893.0,25474245764.0,30655502740.0,19884165287.0,32538980153.0,,,,,,,,
27,"리스부채(주석19,34,35,36)",31830636810.0,31381390859.0,24250759483.0,19790664801.0,17823643712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
